rank,incomePerSec,Common,Rare,Legendary,RatioCommon,RatioRare,RatioLegendary
88,432,1485464,1964664,2666330,0.000290818,0.000219885,0.00016202
89,441,1588186,2097051,2845998,0.000277675,0.000210295,0.000154954
90,450,1666807,2197272,2982012,0.000269977,0.000204799,0.000150905
91,461,1755800,2310858,3136164,0.000262558,0.000199493,0.000146995
92,472,1848037,2428385,3295665,0.000255406,0.000194368,0.000143218
93,483,1943596,2549941,3460634,0.000248508,0.000189416,0.00013957
94,494,2042554,2675615,3631192,0.000241854,0.00018463,0.000136043
95,505,2144992,2805498,3807462,0.000235432,0.000180004,0.000132634
96,516,2250990,2939682,3989568,0.000229232,0.000175529,0.000129337
97,527,2360629,3078259,4177637,0.000223246,0.000171201,0.000126148
98,538,2473993,3221324,4371797,0.000217462,0.000167012,0.000123062
99,549,2591166,3368971,4572176,0.000211874,0.000162958,0.000120074
100,560,2958798,3841417,5213351,0.000189266,0.00014578,0.000107417
101,574,3111474,4033887,5474560,0.000184478,0.000142295,0.000104849
102,588,3269425,4232701,5744380,0.000179848,0.000138918,0.000102361
103,602,3432769,4437995,6022994,0.000175369,0.000135647,9.99503E-05
104,616,3601627,4649906,6310587,0.000171034,0.000132476,9.76137E-05
105,630,3776121,4868571,6607347,0.000166838,0.000129401,9.53484E-05
106,644,3956376,5094132,6913464,0.000162775,0.00012642,9.31516E-05
107,658,4142516,5326729,7229132,0.000158841,0.000123528,9.10206E-05
108,672,4334670,5566508,7554546,0.000155029,0.000120722,8.89531E-05
109,686,4532965,5813613,7889903,0.000151336,0.000117999,8.69466E-05
110,700,4737533,6068192,8235403,0.000147756,0.000115356,8.49989E-05
111,717,4969299,6356993,8627348,0.000144286,0.000112789,8.31078E-05
112,734,5208596,6654772,9031476,0.000140921,0.000110297,8.12713E-05
113,751,5455586,6961708,9448032,0.000137657,0.000107876,7.94875E-05
114,768,5710432,7277986,9877267,0.000134491,0.000105524,7.77543E-05
115,785,5973298,7603792,10319432,0.000131418,0.000103238,7.60701E-05
116,802,6244351,7939313,10774783,0.000128436,0.000101016,7.44331E-05
117,819,6523761,8284741,11243577,0.000125541,9.88564E-05,7.28416E-05
118,836,6811698,8640268,11726077,0.00012273,9.67563E-05,7.12941E-05
119,853,7108337,9006088,12222548,0.00012,9.47137E-05,6.9789E-05
120,870,7413853,9382400,12733257,0.000117348,9.27268E-05,6.8325E-05
121,891,7763276,9813459,13318266,0.000114771,9.07937E-05,6.69006E-05
122,912,8123488,10257277,13920590,0.000112267,8.89125E-05,6.55145E-05
123,933,8494709,10714098,14540562,0.000109833,8.70815E-05,6.41653E-05
124,954,8877161,11184172,15178520,0.000107467,8.52991E-05,6.2852E-05
125,975,9271068,11667752,15834806,0.000105166,8.35637E-05,6.15732E-05
126,996,9676657,12165091,16509767,0.000102928,8.18736E-05,6.03279E-05
127,1017,10094159,12676449,17203752,0.000100751,8.02275E-05,5.9115E-05
128,1038,10523806,13202086,17917117,9.86335E-05,7.86239E-05,5.79334E-05
129,1059,10965835,13742267,18650219,9.65727E-05,7.70615E-05,5.67822E-05
130,1080,11420485,14297259,19403422,9.45669E-05,7.5539E-05,5.56603E-05
131,1107,11952781,14948352,20287050,9.26144E-05,7.4055E-05,5.45668E-05
132,1134,12500899,15618029,21195897,9.07135E-05,7.26084E-05,5.35009E-05
133,1161,13065147,16306635,22130433,8.88624E-05,7.1198E-05,5.24617E-05
134,1188,13645836,17014517,23091130,8.70595E-05,6.98227E-05,5.14483E-05
135,1215,14243284,17742029,24078469,8.53034E-05,6.84815E-05,5.046E-05
136,1242,14857808,18489529,25092933,8.35924E-05,6.71732E-05,4.9496E-05
137,1269,15489733,19257378,26135013,8.19252E-05,6.58968E-05,4.85556E-05
138,1296,16139385,20045940,27205204,8.03005E-05,6.46515E-05,4.76379E-05
139,1323,16807096,20855586,28304009,7.87168E-05,6.34362E-05,4.67425E-05
140,1350,17493201,21686689,29431935,7.71728E-05,6.22502E-05,4.58685E-05
141,1383,18277332,22637839,30722781,7.56675E-05,6.10924E-05,4.50155E-05
142,1416,19083676,23614908,32048804,7.41995E-05,5.99621E-05,4.41826E-05
143,1449,19912647,24618359,33410631,7.27678E-05,5.88585E-05,4.33694E-05
144,1482,20764663,25648658,34808893,7.13713E-05,5.77808E-05,4.25753E-05
145,1515,21640148,26706276,36244231,7.00088E-05,5.67282E-05,4.17998E-05
146,1548,22539528,27791690,37717293,6.86793E-05,5.57001E-05,4.10422E-05
147,1581,23463239,28905383,39228733,6.7382E-05,5.46957E-05,4.03021E-05
148,1614,24411718,30047841,40779213,6.61158E-05,5.37143E-05,3.9579E-05
149,1647,25385407,31219559,42369402,6.48798E-05,5.27554E-05,3.88724E-05
150,1680,26380811,32416191,43993402,6.36827E-05,5.1826E-05,3.81875E-05
151,1722,27545926,33819398,45897755,6.25138E-05,5.09175E-05,3.75182E-05
152,1764,28742579,35259189,47851757,6.13724E-05,5.00295E-05,3.68639E-05
153,1806,29971322,36736176,49856238,6.02576E-05,4.91613E-05,3.62242E-05
154,1848,31232712,38250976,51912038,5.91687E-05,4.83125E-05,3.55987E-05
155,1890,32527313,39804214,54020005,5.8105E-05,4.74824E-05,3.4987E-05
156,1932,33855694,41396523,56180995,5.70657E-05,4.66706E-05,3.43889E-05
157,1974,35218429,43028538,58395874,5.60502E-05,4.58765E-05,3.38038E-05
158,2016,36616101,44700906,60665515,5.50577E-05,4.50998E-05,3.32314E-05
159,2058,38049297,46414275,62990802,5.40877E-05,4.43398E-05,3.26714E-05
160,2100,39518611,48169304,65372627,5.31395E-05,4.35962E-05,3.21235E-05
161,2153,41235319,50223254,68160130,5.22125E-05,4.28686E-05,3.15874E-05
162,2206,42996793,52328866,71017746,5.13062E-05,4.21565E-05,3.10627E-05
163,2259,44803788,54486974,73946607,5.04198E-05,4.14595E-05,3.05491E-05
164,2312,46657063,56698420,76947856,4.95531E-05,4.07772E-05,3.00463E-05
165,2365,48557388,58964055,80022646,4.87053E-05,4.01092E-05,2.95541E-05
166,2418,50505540,61284737,83172144,4.78759E-05,3.94552E-05,2.90722E-05
167,2471,52502303,63661335,86397526,4.70646E-05,3.88148E-05,2.86004E-05
168,2524,54548470,66094722,89699980,4.62708E-05,3.81876E-05,2.81382E-05
169,2577,56644842,68585785,93080709,4.5494E-05,3.75734E-05,2.76857E-05
170,2630,58792228,71135417,96540923,4.47338E-05,3.69717E-05,2.72423E-05
171,2696,61286967,74101834,100566775,4.39898E-05,3.63824E-05,2.68081E-05
172,2762,63844313,77140157,104690213,4.32615E-05,3.5805E-05,2.63826E-05
173,2828,66465278,80251505,108912757,4.25485E-05,3.52392E-05,2.59657E-05
174,2894,69150888,83437008,113235939,4.18505E-05,3.46848E-05,2.55573E-05
175,2960,71902178,86697807,117661310,4.1167E-05,3.41416E-05,2.5157E-05
176,3026,74720191,90035055,122190432,4.04978E-05,3.36091E-05,2.47646E-05
177,3092,77605983,93449916,126824886,3.98423E-05,3.30872E-05,2.43801E-05
178,3158,80560620,96943564,131566265,3.92003E-05,3.25757E-05,2.40031E-05
179,3224,83585179,100517184,136416178,3.85714E-05,3.20741E-05,2.36336E-05
180,3290,86680746,104171974,141376250,3.79554E-05,3.15824E-05,2.32712E-05
181,3373,90303550,108455761,147189962,3.73518E-05,3.11002E-05,2.2916E-05
182,3456,94014212,112840023,153140032,3.67604E-05,3.06274E-05,2.25676E-05
183,3539,97814106,117326273,159228514,3.61809E-05,3.01637E-05,2.22259E-05
184,3622,101704620,121916039,165457481,3.56129E-05,2.9709E-05,2.18908E-05
185,3705,105687155,126610862,171829027,3.50563E-05,2.92629E-05,2.15621E-05
186,3788,109763126,131412300,178345264,3.45107E-05,2.88253E-05,2.12397E-05
187,3871,113933962,136321923,185008324,3.39758E-05,2.8396E-05,2.09234E-05
188,3954,118201104,141341317,191820359,3.34515E-05,2.79748E-05,2.0613E-05
189,4037,122566008,146472084,198783542,3.29374E-05,2.75616E-05,2.03085E-05
190,4120,127030145,151715837,205900065,3.24332E-05,2.7156E-05,2.00097E-05
191,4224,132252504,157859018,214237239,3.19389E-05,2.67581E-05,1.97165E-05
192,4328,137597345,164141713,222763754,3.14541E-05,2.63675E-05,1.94287E-05
193,4432,143066522,170565957,231482371,3.09786E-05,2.59841E-05,1.91462E-05
194,4536,148661903,177133805,240395878,3.05122E-05,2.56078E-05,1.88689E-05
195,4640,154385378,183847329,249507089,3.00547E-05,2.52383E-05,1.85967E-05
196,4744,160238851,190708621,258818842,2.96058E-05,2.48756E-05,1.83294E-05
197,4848,166224246,197719792,268334003,2.91654E-05,2.45195E-05,1.8067E-05
198,4952,172343504,204882972,278055462,2.87333E-05,2.41699E-05,1.78094E-05
199,5056,178598584,212200311,287986136,2.83093E-05,2.38265E-05,1.75564E-05
200,5160,184991465,219673976,298128968,2.78932E-05,2.34894E-05,1.73079E-05
201,5291,192506504,228472052,310069213,2.74848E-05,2.31582E-05,1.70639E-05
202,5422,200192432,237464067,322272662,2.70839E-05,2.28329E-05,1.68243E-05
203,5553,208051751,246652768,334743042,2.66905E-05,2.25134E-05,1.65888E-05
204,5684,216086990,256040925,347484112,2.63042E-05,2.21996E-05,1.63576E-05
205,5815,224300699,265631332,360499665,2.5925E-05,2.18912E-05,1.61304E-05
206,5946,232695452,275426810,373793528,2.55527E-05,2.15883E-05,1.59072E-05
207,6077,241273845,285430204,387369562,2.51871E-05,2.12907E-05,1.56879E-05
208,6208,250038501,295644382,401231661,2.48282E-05,2.09982E-05,1.54724E-05
209,6339,258992063,306072241,415383755,2.44757E-05,2.07108E-05,1.52606E-05
210,6470,268137199,316716700,429829808,2.41294E-05,2.04284E-05,1.50525E-05
211,6635,278905812,329267989,446863699,2.37894E-05,2.01508E-05,1.48479E-05
212,6800,289912113,342088115,464262442,2.34554E-05,1.98779E-05,1.46469E-05
213,6965,301159481,355180776,482031053,2.31273E-05,1.96097E-05,1.44493E-05
214,7130,312651326,368549701,500174594,2.2805E-05,1.93461E-05,1.4255E-05
215,7295,324391086,382198652,518698171,2.24883E-05,1.90869E-05,1.40641E-05
216,7460,336382231,396131425,537606933,2.21772E-05,1.88321E-05,1.38763E-05
217,7625,348628263,410351846,556906076,2.18714E-05,1.85816E-05,1.36917E-05
218,7790,361132714,424863776,576600839,2.1571E-05,1.83353E-05,1.35102E-05
219,7955,373899148,439671109,596696505,2.12758E-05,1.80931E-05,1.33317E-05
220,8120,386931158,454777773,617198406,2.09856E-05,1.78549E-05,1.31562E-05
221,8328,402309619,472628051,641423783,2.07005E-05,1.76206E-05,1.29836E-05
222,8536,418017969,490850274,666153943,2.04202E-05,1.73902E-05,1.28139E-05
223,8744,434060762,509449418,691395639,2.01446E-05,1.71636E-05,1.26469E-05
224,8952,450442592,528430500,717155679,1.98738E-05,1.69407E-05,1.24826E-05
225,9160,467168094,547798581,743440931,1.96075E-05,1.67215E-05,1.23211E-05
226,9368,484241942,567558763,770258321,1.93457E-05,1.65058E-05,1.21622E-05
227,9576,501668854,587716192,797614832,1.90883E-05,1.62936E-05,1.20058E-05
228,9784,519453584,608276059,825517509,1.88352E-05,1.60848E-05,1.1852E-05
229,9992,537600930,629243598,853973454,1.85863E-05,1.58794E-05,1.17006E-05
230,10200,556115731,650624084,882989829,1.83415E-05,1.56773E-05,1.15517E-05
231,10462,577986165,675911583,917308577,1.81008E-05,1.54784E-05,1.14051E-05
232,10724,600312935,701712083,952323541,1.7864E-05,1.52826E-05,1.12609E-05
233,10986,623102167,728032263,988043786,1.76311E-05,1.509E-05,1.11189E-05
234,11248,646360038,754878860,1024478452,1.74021E-05,1.49004E-05,1.09792E-05
235,11510,670092780,782258664,1061636758,1.71767E-05,1.47138E-05,1.08417E-05
236,11772,694306677,810178524,1099527998,1.6955E-05,1.45301E-05,1.07064E-05
237,12034,719008065,838645346,1138161541,1.67369E-05,1.43493E-05,1.05732E-05
238,12296,744203336,867666091,1177546837,1.65224E-05,1.41714E-05,1.0442E-05
239,12558,769898935,897247777,1217693412,1.63112E-05,1.39961E-05,1.03129E-05
240,12820,796101360,927397482,1258610868,1.61035E-05,1.38236E-05,1.01858E-05
241,13151,827157050,963175883,1307167269,1.5899E-05,1.36538E-05,1.00607E-05
242,13482,858843971,999661954,1356684081,1.56978E-05,1.34866E-05,9.93746E-06
243,13813,891170373,1036864678,1407173491,1.54998E-05,1.33219E-05,9.81613E-06
244,14144,924144574,1074793108,1458647790,1.5305E-05,1.31597E-05,9.69665E-06
245,14475,957774962,1113456374,1511119365,1.51132E-05,1.30001E-05,9.57899E-06
246,14806,992069993,1152863679,1564600707,1.49244E-05,1.28428E-05,9.46312E-06
247,15137,1027038196,1193024298,1619104405,1.47385E-05,1.26879E-05,9.349E-06
248,15468,1062688168,1233947585,1674643152,1.45555E-05,1.25354E-05,9.23659E-06
249,15799,1099028580,1275642968,1731229742,1.43754E-05,1.23851E-05,9.12588E-06
250,16130,1136041259,1318119948,1788877073,1.41984E-05,1.22371E-05,9.01683E-06
251,16548,1184952374,1368583342,1857363107,1.39651E-05,1.20913E-05,8.9094E-06
252,16966,1235076195,1420020553,1927170751,1.37368E-05,1.19477E-05,8.80358E-06
253,17384,1286431382,1472443638,1998316366,1.35134E-05,1.18062E-05,8.69932E-06
254,17802,1339036769,1525864749,2070816446,1.32946E-05,1.16668E-05,8.59661E-06
255,18220,1392911363,1580296136,2144687613,1.30805E-05,1.15295E-05,8.49541E-06
256,18638,1448074352,1635750146,2219946626,1.28709E-05,1.13942E-05,8.3957E-06
257,19056,1504545096,1692239222,2296610373,1.26656E-05,1.12608E-05,8.29745E-06
258,19474,1562343136,1749775910,2374695878,1.24646E-05,1.11294E-05,8.20063E-06
259,19892,1621488191,1808372850,2454220297,1.22677E-05,1.09999E-05,8.10522E-06
260,20310,1682000160,1868042785,2535200922,1.20749E-05,1.08723E-05,8.0112E-06
261,20838,1753153702,1939034364,2631546637,1.1886E-05,1.07466E-05,7.91854E-06
262,21366,1826007252,2011363579,2729707714,1.17009E-05,1.06226E-05,7.82721E-06
263,21894,1900586079,2085046595,2829706093,1.15196E-05,1.05005E-05,7.7372E-06
264,22422,1976915682,2160099707,2931563888,1.13419E-05,1.03801E-05,7.64848E-06
265,22950,2055021790,2236539336,3035303385,1.11678E-05,1.02614E-05,7.56102E-06
266,23478,2134930363,2314382033,3140947044,1.09971E-05,1.01444E-05,7.47482E-06
267,24006,2216667598,2393644474,3248517501,1.08298E-05,1.00291E-05,7.38983E-06
268,24534,2300259923,2474343468,3358037564,1.06658E-05,9.91536E-06,7.30605E-06
269,25062,2385734003,2556495952,3469530220,1.05049E-05,9.80326E-06,7.22346E-06
270,25590,2473116740,2640118993,3583018633,1.03473E-05,9.69274E-06,7.14202E-06
271,26258,2576170665,2739837808,3718351311,1.01926E-05,9.58378E-06,7.06173E-06
272,26926,2681602625,2841392957,3856176155,1.0041E-05,9.47634E-06,6.98256E-06
273,27594,2789446827,2944806126,3996522600,9.89228E-06,9.3704E-06,6.9045E-06
274,28262,2899737782,3050099171,4139420304,9.7464E-06,9.26593E-06,6.82753E-06
275,28930,3012510304,3157294113,4284899153,9.60329E-06,9.16291E-06,6.75162E-06
276,29598,3127799515,3266413141,4432989263,9.46288E-06,9.06132E-06,6.67676E-06
277,30266,3245640842,3377478615,4583720978,9.32512E-06,8.96112E-06,6.60293E-06
278,30934,3366070024,3490513064,4737124873,9.18995E-06,8.86231E-06,6.53012E-06
279,31602,3489123109,3605539188,4893231755,9.05729E-06,8.76485E-06,6.45831E-06
280,32270,3614836458,3722579857,5052072664,8.9271E-06,8.66872E-06,6.38748E-06
281,33115,3763361953,3862302160,5241695789,8.79931E-06,8.5739E-06,6.31761E-06
282,33960,3915203152,4004540630,5434733712,8.67388E-06,8.48037E-06,6.2487E-06
283,34805,4070406282,4149324322,5631225866,8.55074E-06,8.38811E-06,6.18071E-06
284,35650,4229017966,4296682513,5831211982,8.42985E-06,8.2971E-06,6.11365E-06
285,36495,4391085232,4446644699,6034732091,8.31116E-06,8.20731E-06,6.04749E-06
286,37340,4556655508,4599240596,6241826523,8.19461E-06,8.11873E-06,5.98222E-06
287,38185,4725776629,4754500145,6452535911,8.08015E-06,8.03134E-06,5.91783E-06
288,39030,4898496838,4912453508,6666901190,7.96775E-06,7.94511E-06,5.85429E-06
289,39875,5074864785,5073131073,6884963600,7.85735E-06,7.86004E-06,5.79161E-06
290,40720,5254929534,5236563453,7106764686,7.74891E-06,7.77609E-06,5.72975E-06
291,41791,5468312446,5432157852,7372214227,7.64239E-06,7.69326E-06,5.66872E-06
292,42862,5686312608,5631199899,7642342720,7.53775E-06,7.61152E-06,5.60849E-06
293,43933,5908992501,5833728556,7917203040,7.43494E-06,7.53086E-06,5.54906E-06
294,45004,6136415135,6039783071,8196848454,7.33392E-06,7.45126E-06,5.4904E-06
295,46075,6368644046,6249402984,8481332621,7.23466E-06,7.3727E-06,5.43252E-06
296,47146,6605743306,6462628124,8770709597,7.13712E-06,7.29517E-06,5.37539E-06
297,48217,6847777518,6679498615,9065033835,7.04126E-06,7.21866E-06,5.31901E-06
298,49288,7094811826,6900054873,9364360185,6.94705E-06,7.14313E-06,5.26336E-06
299,50359,7346911911,7124337610,9668743899,6.85444E-06,7.06859E-06,5.20843E-06
300,51430,7604143999,7352387834,9978240632,6.76342E-06,6.99501E-06,5.15422E-06
301,52788,7909577984,7625706612,10349173259,6.67393E-06,6.92237E-06,5.1007E-06
302,54146,8221426896,7903743601,10726509172,6.58596E-06,6.85068E-06,5.04787E-06
303,55504,8539775100,8186551011,11110319229,6.49947E-06,6.7799E-06,4.99572E-06
304,56862,8864707656,8474181432,11500674800,6.41442E-06,6.71003E-06,4.94423E-06
305,58220,9196310321,8766687834,11897647775,6.3308E-06,6.64105E-06,4.8934E-06
306,59578,9534669558,9064123572,12301310562,6.24856E-06,6.57295E-06,4.84322E-06
307,60936,9879872531,9366542385,12711736094,6.16769E-06,6.50571E-06,4.79368E-06
308,62294,10232007115,9673998398,13128997825,6.08815E-06,6.43932E-06,4.74476E-06
309,63652,10591161899,9986546125,13553169741,6.00992E-06,6.37378E-06,4.69647E-06
310,65010,10957426184,10304240471,13984326353,5.93296E-06,6.30905E-06,4.64878E-06
311,66733,11393205791,10676076867,14473255183,5.85726E-06,6.2507E-06,4.61078E-06
312,68456,11837880675,11053724837,14969014799,5.78279E-06,6.19303E-06,4.57318E-06
313,70179,12291564662,11437241930,15471662834,5.70953E-06,6.13601E-06,4.53597E-06
314,71902,12754372491,11826686076,15981257231,5.63744E-06,6.07964E-06,4.49915E-06
315,73625,13226419827,12222115584,16497856252,5.56651E-06,6.02392E-06,4.4627E-06
316,75348,13707823259,12623589145,17021518471,5.49672E-06,5.96883E-06,4.42663E-06
317,77071,14198700306,13031165834,17552302780,5.42803E-06,5.91436E-06,4.39093E-06
318,78794,14699169424,13444905112,18090268390,5.36044E-06,5.86051E-06,4.3556E-06
319,80517,15209350006,13864866823,18635474832,5.29391E-06,5.80727E-06,4.32063E-06
320,82240,15729362393,14291111204,19187981954,5.22844E-06,5.75463E-06,4.28602E-06
321,84428,16349374528,14805240986,19857216559,5.16399E-06,5.70258E-06,4.25175E-06
322,86616,16981702001,15327260369,20535631278,5.10055E-06,5.65111E-06,4.21784E-06
323,88804,17626498310,15857246116,21223302337,5.0381E-06,5.60022E-06,4.18427E-06
324,90992,18283918162,16395275493,21920306370,4.97661E-06,5.54989E-06,4.15104E-06
325,93180,18954117481,16941426262,22626720422,4.91608E-06,5.50013E-06,4.11814E-06
326,95368,19637253413,17495776687,23342621954,4.85648E-06,5.45092E-06,4.08557E-06
327,97556,20333484333,18058405538,24068088838,4.7978E-06,5.40225E-06,4.05333E-06
328,99744,21042969848,18629392090,24803199364,4.74002E-06,5.35412E-06,4.02142E-06
329,101932,21765870807,19208816125,25548032240,4.68311E-06,5.30652E-06,3.98982E-06
330,104120,22502349304,19796757937,26302666592,4.62707E-06,5.25945E-06,3.95853E-06
331,106900,23382055840,20506862998,27217911657,4.57188E-06,5.21289E-06,3.92756E-06
332,109680,24278783996,21227672203,28145490033,4.51752E-06,5.16684E-06,3.89689E-06
333,112460,25192740621,21959287930,29085502547,4.46398E-06,5.1213E-06,3.86653E-06
334,115240,26124134167,22701813215,30038050561,4.41125E-06,5.07625E-06,3.83647E-06
335,118020,27073174687,23455351749,31003235977,4.3593E-06,5.03169E-06,3.8067E-06
336,120800,28040073850,24220007882,31981161239,4.30812E-06,4.98761E-06,3.77722E-06
337,123580,29025044942,24995886628,32971929330,4.2577E-06,4.94401E-06,3.74804E-06
338,126360,30028302882,25783093664,33975643779,4.20803E-06,4.90089E-06,3.71913E-06
339,129140,31050064221,26581735337,34992408664,4.15909E-06,4.85822E-06,3.69051E-06
340,131920,32090547155,27391918664,36022328606,4.11087E-06,4.81602E-06,3.66217E-06
341,135455,33335778721,28371890773,37273262748,4.06335E-06,4.77427E-06,3.63411E-06
342,138990,34604505347,29366380750,38540765298,4.01653E-06,4.73296E-06,3.60631E-06
343,142525,35897005673,30375525149,39824969676,3.97039E-06,4.6921E-06,3.57878E-06
344,146060,37213560446,31399461388,41126010001,3.92491E-06,4.65167E-06,3.55152E-06
345,149595,38554452536,32438327746,42444021100,3.8801E-06,4.61167E-06,3.52452E-06
346,153130,39919966939,33492263369,43779138506,3.83593E-06,4.5721E-06,3.49778E-06
347,156665,41310390791,34561408277,45131498462,3.79239E-06,4.53295E-06,3.4713E-06
348,160200,42726013378,35645903362,46501237926,3.74947E-06,4.49421E-06,3.44507E-06
349,163735,44167126143,36745890395,47888494569,3.70717E-06,4.45587E-06,3.41909E-06
350,167270,45634022702,37861512029,49293406781,3.66547E-06,4.41794E-06,3.39335E-06
351,171770,47393253075,39213210740,51002645387,3.62436E-06,4.38041E-06,3.36786E-06
352,176270,49184883358,40584599475,52734147165,3.58382E-06,4.34327E-06,3.34262E-06
353,180770,51009288867,41975860452,54488088779,3.54386E-06,4.30652E-06,3.31761E-06
354,185270,52866847708,43387177016,56264647810,3.50446E-06,4.27016E-06,3.29283E-06
355,189770,54757940786,44818733654,58064002766,3.46562E-06,4.23417E-06,3.26829E-06
356,194270,56682951817,46270715989,59886333081,3.42731E-06,4.19855E-06,3.24398E-06
357,198770,58642267344,47743310794,61731819118,3.38953E-06,4.16331E-06,3.2199E-06
